Longitude,Latitude,Town,Location,StartDate,StartTime,EndDate,EndTime,Crime,CrimeType
80.622308,7.341378,Kalugalawaththa,,2019-12-31,23:45,2020-01-01,0:10,Breaking into a temple and stealing from the donation box,Burglary
80.585494,7.328943,Thiththapajjala,,2020-01-01,20:00,,,Assault with a hand axe,Assault
80.564739,7.335182,Aladeniya,,2020-01-05,19:15,,,Possession of a counterfeit 5000 Rupee note,Fraud
80.60994,7.334379,Ranawana,Near Susil garage,2020-01-05,17:00,,,Stabbing with a knife,Assault
80.628027,7.320642,Katugastota,"Near St.Anthony's girls, College",2020-01-06,13:30,,,"Stealing a mobile phone worth 22,000 and money worth 7,000",Theft
80.62368,7.321494,Katugastota,Apollo Man Power,2020-01-08,14:00,,,"Beating up and stealing 60,000",Robbery
80.602024,7.324071,Wathuwala,Nikathanna,2020-01-08,16:30,2020-01-08,22:00,"Breaking into a house and stealing 102,000",Burglary
80.617118,7.323072,Yatiwawala,,2020-01-11,20:30,,,Beating up and murdering,Murder
80.636703,7.322436,Mawilmada,Nagaha ella Road,2019-12-30,,2019-12-31,,Breaking into a house and stealing an iPad,Burglary
80.615696,7.353901,Bokalawela,,2020-01-13,10:00,2020-01-16,10:10,"Breaking into a house and stealing property worth 110,285",Burglary
80.619722,7.314906,Gohagoda,Thekkawaththa,2020-01-14,17:00,2020-01-17,9:10,"Breaking into a house and stealing property worth 6,000",Burglary
80.564739,7.335182,Hadeniya,,2020-01-18,20:00,2020-01-19,9:00,Breaking into a shop and stealing property,Burglary
80.609581,7.296542,Udumulla,,2020-01-18,18:30,,,Assualt with a knife,Assault
80.60994,7.334379,Ranawana,Pigaoyawaththa,2020-01-22,11:40,2020-01-22,14:30,"Breaking into a house and stealing property worth 43,000",Burglary
80.636703,7.322436,Mawilmada,Paranaganthota Road,2020-01-24,23:00,2020-01-25,9:00,Breaking into a house and stealing property,Burglary
80.61142,7.321026,Kondadeniya,Pahala Kondadeniya ,2020-01-27,0:00,,,"Breaking into a house and stealing property worth 150,500",Burglary
80.609581,7.296542,Pallemulla,,2020-01-29,14:45,,,Possession of 2g of heroin,Drug
80.600787,7.303278,Uggalaa,,2020-01-29,19:45,,,Assault with a knife to the head,Assault
80.628854,7.328358,Kahalla,,2020-01-29,15:00,,,Breaking into a house and stealing property,Burglary
80.646653,7.325929,Polgolla,Doragamuwa Road,2020-01-30,21:00,2020-01-31,6:45,Stealing property from a parked Bolero truck,Theft
80.612965,7.304321,Hamangoda,,2020-02-02,15:30,,,Cutting with a knife,Assault
80.612965,7.304321,Gohagoda,,2020-02-01,,,,"Stealing a battery worth 37,000 from a vehicle",Theft
80.632454,7.329192,Nawayalathenna,,2020-02-03,7:00,2020-02-03,21:00,"Breaking into a house and stealing property worth 15,000",Burglary
80.612965,7.304321,Gohagoda,,2020-02-12,19:30,2020-02-13,10:00,"Breaking into a house and stealing property worth 8,300",Burglary
80.600787,7.303278,Halloluwa,,2020-02-15,7:30,,,Sexual assault of a 14-year-old girl in the name of a relationship,Rape
80.612965,7.304321,Wegiriya,,2020-02-20,7:45,2020-02-20,15:00,Breaking into a house,Burglary
80.615696,7.353901,Ambatenna,,2020-02-19,9:00,2020-02-26,15:00,"Breaking into a house and stealing property worth 45,000",Burglary
80.624283,7.323781,Katugastota,,2020-02-26,19:00,,,Stabbing in the head with a knife,Assault
80.612965,7.304321,Hamangoda,,2020-02-29,4:30,2020-03-01,1:30,Breaking into a house and stealing property,Burglary
80.600787,7.303278,Yatihalagala,,2020-03-03,9:15,,,"Stealing two phones worth 18,700 and fleeing on a motorcycle",Theft
80.622308,7.341378,Kalugalawaththa,,2020-03-06,16:15,,,Ripping out a gold necklace and fleeing on a motorbike,Theft
80.602024,7.324071,Wathuwala,,2020-03-07,23:30,2020-03-08,6:00,"Entering a house and stealing a laptop worth 75,000",Burglary
80.585494,7.328943,Nugawela,,2016-11-09,,,,"Issuing a fake check worth 967,900 for Sanstha Cement",Fraud
80.640351,7.331616,Jambugahapitiya,,2020-03-10,4:40,,,Abducting a 14-year-old girl,Abduction
80.578864,7.319055,Werallagama,Uggallawaththa,2020-03-10,9:00,2020-03-10,12:10,"Breaking into a house and stealing property worth 31,100",Burglary
80.600787,7.303278,Halloluwa,Doolwala,2020-03-11,19:00,2020-03-12,9:00,"Breaking into a house and stealing property worth 46,000",Burglary
80.602024,7.324071,Wathuwala,Nikathanna,2020-03-13,9:30,,,Beating up and biting until they bled,Assault
80.585494,7.328943,Barigama,,2020-03-12,18:50,,,Wounding by biting,Assault
80.585494,7.328943,Thiththapajjala,,2020-03-14,20:30,,,Stabbing with a knife,Assault
80.615696,7.353901,Ambatenna,,2020-03-15,16:00,,,"Beating up and stealing 20,000 and a silver chain",Robbery
80.564739,7.335182,Aladeniya,Wiguhumpola,2020-03-17,20:00,2020-03-19,16:00,"Breaking into a house and stealing betel worth 46,800",Burglary
80.585467,7.345114,Rajapihilla,,2020-03-22,18:00,2020-03-23,6:00,"Breaking into a house and stealing property worth 48,000",Burglary
80.622308,7.341378,Kalugalawaththa,,2020-03-27,14:55,,,Possessing and distributing 10.2 grams of heroin on a motorcycle,Drug
80.625742,7.325952,Kalugala ,,2020-03-26,11:00,2020-04-01,14:23,"Breaking into a house and stealing property worth 43,000",Burglary
80.564739,7.335182,Aladeniya,,2020-04-24,20:43,,,"Entering a house and stealing a water motor worth 30,000",Burglary
80.600787,7.303278,Halloluwa,,2020-03-26,10:30,2020-03-29,6:00,"Breaking into a house and stealing property worth 105,000",Burglary
80.624283,7.323781,Katugastota,,2020-04-07,8:00,,,Using a fake curfew license to travel,Fraud
80.622308,7.341378,Megodagama,,2020-04-07,19:45,,,Assualt with a knife,Assault
80.622308,7.341378,Megodagama,,2020-04-13,11:30,,,Inflicting critical wounds by biting off an arm,Assault
80.60994,7.334379,Ranawana,,2020-04-14,,2020-04-16,,"Stealing 255,000 from a car",Theft
80.617118,7.323072,Yatiwawala,,2020-04-20,15:30,,,Murdering by cutting the neck,Murder
80.624283,7.323781,Katugastota,,2020-04-20,16:50,,,"Taking 2,400 from a wallet by force while walking on the road",Robbery
80.640351,7.331616,Jambugahapitiya,,2020-04-28,18:30,2020-04-29,6:30,Breaking into a house and stealing a gas cylinder and a blender,Burglary
80.564402,7.051985,Ruwanpura,,2020-04-29,6:00,2020-04-29,9:00,Husband cutting the genitals of his boy when he tried to stop a fight between the husband and wife,Assault
80.615696,7.353901,Ambatenna,,2020-05-01,13:45,,,"Breaking into a house and stealing property worth 63,500",Burglary
80.600787,7.303278,Pallegama,Yatihalagala,2020-03-08,20:30,2020-03-14,15:30,"Stealing property worth 675,000 from the bedroom",Burglary
80.628027,7.320642,Wattaranthenna,,2020-05-12,13:05,,,Cutting with a knife,Assault
80.602024,7.324071,Wathuwala,,2020-05-11,15:00,2020-05-11,21:00,Breaking into a house and stealing property,Burglary
80.624283,7.323781,Katugastota,,2020-05-12,,,,"Stealing the water motor fixed to St. Anthony's Boys' College well, worth 35,000",Theft
80.617118,7.323072,Yatiwawala,,2020-05-14,17:40,,,Cutting with a knife,Assault
80.585494,7.328943,Mapamadulla,,2020-05-15,23:00,2020-05-16,6:15,"Breaking into a house and stealing nutmeg worth 20,000",Burglary
